Entity,Code,Date,Daily new confirmed deaths due to COVID-19
Afghanistan,AFG,2020-02-24,
Afghanistan,AFG,2020-02-25,
Afghanistan,AFG,2020-02-26,
Afghanistan,AFG,2020-02-27,
Afghanistan,AFG,2020-02-28,
Afghanistan,AFG,2020-02-29,
Afghanistan,AFG,2020-03-01,
Afghanistan,AFG,2020-03-02,
Afghanistan,AFG,2020-03-03,
Afghanistan,AFG,2020-03-04,
Afghanistan,AFG,2020-03-05,
Afghanistan,AFG,2020-03-06,
Afghanistan,AFG,2020-03-07,
Afghanistan,AFG,2020-03-08,
Afghanistan,AFG,2020-03-09,
Afghanistan,AFG,2020-03-10,
Afghanistan,AFG,2020-03-11,
Afghanistan,AFG,2020-03-12,
Afghanistan,AFG,2020-03-13,
Afghanistan,AFG,2020-03-14,
Afghanistan,AFG,2020-03-15,
Afghanistan,AFG,2020-03-16,
Afghanistan,AFG,2020-03-17,
Afghanistan,AFG,2020-03-18,
Afghanistan,AFG,2020-03-19,
Afghanistan,AFG,2020-03-20,
Afghanistan,AFG,2020-03-21,
Afghanistan,AFG,2020-03-22,1.0
Afghanistan,AFG,2020-03-23,0.0
Afghanistan,AFG,2020-03-24,0.0
Afghanistan,AFG,2020-03-25,1.0
Afghanistan,AFG,2020-03-26,1.0
Afghanistan,AFG,2020-03-27,0.0
Afghanistan,AFG,2020-03-28,1.0
Afghanistan,AFG,2020-03-29,0.0
Afghanistan,AFG,2020-03-30,0.0
Afghanistan,AFG,2020-03-31,0.0
Afghanistan,AFG,2020-04-01,0.0
Afghanistan,AFG,2020-04-02,0.0
Afghanistan,AFG,2020-04-03,4.0
Afghanistan,AFG,2020-04-04,2.0
Afghanistan,AFG,2020-04-05,2.0
Afghanistan,AFG,2020-04-06,3.0
Afghanistan,AFG,2020-04-07,1.0
Afghanistan,AFG,2020-04-08,0.0
Afghanistan,AFG,2020-04-09,1.0
Afghanistan,AFG,2020-04-10,1.0
Afghanistan,AFG,2020-04-11,0.0
Afghanistan,AFG,2020-04-12,1.0
Afghanistan,AFG,2020-04-13,3.0
Afghanistan,AFG,2020-04-14,1.0
Afghanistan,AFG,2020-04-15,6.0
Afghanistan,AFG,2020-04-16,1.0
Afghanistan,AFG,2020-04-17,0.0
Afghanistan,AFG,2020-04-18,0.0
Afghanistan,AFG,2020-04-19,3.0
Afghanistan,AFG,2020-04-20,3.0
Afghanistan,AFG,2020-04-21,0.0
Afghanistan,AFG,2020-04-22,4.0
Afghanistan,AFG,2020-04-23,0.0
Afghanistan,AFG,2020-04-24,3.0
Afghanistan,AFG,2020-04-25,4.0
Afghanistan,AFG,2020-04-26,5.0
Afghanistan,AFG,2020-04-27,6.0
Afghanistan,AFG,2020-04-28,1.0
Afghanistan,AFG,2020-04-29,2.0
Afghanistan,AFG,2020-04-30,3.0
Afghanistan,AFG,2020-05-01,4.0
Afghanistan,AFG,2020-05-02,4.0
Afghanistan,AFG,2020-05-03,13.0
Afghanistan,AFG,2020-05-04,5.0
Afghanistan,AFG,2020-05-05,5.0
Afghanistan,AFG,2020-05-06,9.0
Afghanistan,AFG,2020-05-07,2.0
Afghanistan,AFG,2020-05-08,3.0
Afghanistan,AFG,2020-05-09,6.0
Afghanistan,AFG,2020-05-10,5.0
Afghanistan,AFG,2020-05-11,2.0
Afghanistan,AFG,2020-05-12,5.0
Afghanistan,AFG,2020-05-13,5.0
Afghanistan,AFG,2020-05-14,4.0
Afghanistan,AFG,2020-05-15,17.0
Afghanistan,AFG,2020-05-16,15.0
Afghanistan,AFG,2020-05-17,2.0
Afghanistan,AFG,2020-05-18,3.0
Afghanistan,AFG,2020-05-19,5.0
Afghanistan,AFG,2020-05-20,10.0
Afghanistan,AFG,2020-05-21,6.0
Afghanistan,AFG,2020-05-22,12.0
Afghanistan,AFG,2020-05-23,11.0
Afghanistan,AFG,2020-05-24,2.0
Afghanistan,AFG,2020-05-25,1.0
Afghanistan,AFG,2020-05-26,1.0
Afghanistan,AFG,2020-05-27,7.0
Afghanistan,AFG,2020-05-28,8.0
Afghanistan,AFG,2020-05-29,11.0
Afghanistan,AFG,2020-05-30,3.0
Afghanistan,AFG,2020-05-31,8.0
Afghanistan,AFG,2020-06-01,8.0
Afghanistan,AFG,2020-06-02,8.0
Afghanistan,AFG,2020-06-03,24.0
Afghanistan,AFG,2020-06-04,6.0
Afghanistan,AFG,2020-06-05,9.0
Afghanistan,AFG,2020-06-06,18.0
Afghanistan,AFG,2020-06-07,30.0
Afghanistan,AFG,2020-06-08,12.0
Afghanistan,AFG,2020-06-09,15.0
Afghanistan,AFG,2020-06-10,21.0
Afghanistan,AFG,2020-06-11,21.0
Afghanistan,AFG,2020-06-12,20.0
Afghanistan,AFG,2020-06-13,5.0
Afghanistan,AFG,2020-06-14,20.0
Afghanistan,AFG,2020-06-15,7.0
Afghanistan,AFG,2020-06-16,13.0
Afghanistan,AFG,2020-06-17,13.0
Afghanistan,AFG,2020-06-18,42.0
Afghanistan,AFG,2020-06-19,2.0
Afghanistan,AFG,2020-06-20,21.0
Afghanistan,AFG,2020-06-21,12.0
Afghanistan,AFG,2020-06-22,12.0
Afghanistan,AFG,2020-06-23,20.0
Afghanistan,AFG,2020-06-24,21.0
Afghanistan,AFG,2020-06-25,36.0
Afghanistan,AFG,2020-06-26,8.0
Afghanistan,AFG,2020-06-27,34.0
